1,ADAM GRAY VICTORY FUND,PAC
2,LOUISIANA HOME BUILDERS ASSOCIATION POLITICAL ACTION COMMITTEE,PAC
3,SAVE GLENDORA SCHOOLS,PAC
4,VAN ORDEN CRANE VICTORY FUND,PAC
5,MARIA CABILDO FOR CONGRESS,PAC
6,IOWA VALUES,PAC
7,FIGHT BACK PAC,PAC
8,THE DINOSAUR EXTINCTION FUND,PAC
9,RANDOM NEW PAC,PAC
10,FRIENDS OF CHRIS LEWIS,PAC
11,KEYSTONE STRONG,PAC
12,ASIAN AMERICANS AGAINST TRUMPISM,PAC
