S. 2551,https://www.congress.gov/bill/117th-congress/senate-bill/2551,AI Training Act,"Peters, Gary C.","Portman, Rob",,,,,Government Operations and Politics,Computers and information technology,Advanced technology and technological innovations,Employment and training programs,"Government employee pay, benefits, personnel management"
S. 2533,https://www.congress.gov/bill/117th-congress/senate-bill/2533,Making Advances in Mammography and Medical Options for Veterans Act,"Tester, Jon","Stabenow, Debbie","Collins, Susan M.","Boozman, John","Hirono, Mazie K.","Coons, Christopher A.",Armed Forces and National Security,Health care coverage and access,Veterans' medical care,Rural conditions and development,Neurological disorders
S. 2521,https://www.congress.gov/bill/117th-congress/senate-bill/2521,SBIC Advisory Committee Act of 2022,"Cardin, Benjamin L.","Coons, Christopher A.","Risch, James E.",,,,Commerce,Advisory bodies,Business investment and capital,Congressional oversight,Minority and disadvantaged businesses
S. 2520,https://www.congress.gov/bill/117th-congress/senate-bill/2520,State and Local Government Cybersecurity Act of 2021,"Peters, Gary C.","Rosen, Jacky","Portman, Rob",,,,Emergency Management,State and local government operations,Federal-Indian relations,"Elections, voting, political campaign regulation",Technology assessment
S. 2514,https://www.congress.gov/bill/117th-congress/senate-bill/2514,"A bill to rename the Provo Veterans Center in Orem, Utah, as the ""Col. Gail S. Halvorsen 'Candy Bomber' Veterans Center"".","Lee, Mike","Romney, Mitt",,,,,Armed Forces and National Security,Utah,Military personnel and dependents,"Government buildings, facilities, and property",Department of Veterans Affairs
S. 2490,https://www.congress.gov/bill/117th-congress/senate-bill/2490,Blackwell School National Historic Site Act,"Cornyn, John","Padilla, Alex",,,,,Public Lands and Natural Resources,Educational facilities and institutions,Historic sites and heritage areas,Latin America,Mexico
S. 2382,https://www.congress.gov/bill/117th-congress/senate-bill/2382,"A bill to authorize the National Cyber Director to accept details from other elements of the Federal Government on nonreimbursable basis, and for other purposes.","Portman, Rob","Rosen, Jacky","King, Angus S., Jr.","Peters, Gary C.","Rounds, Mike","Sinema, Kyrsten","Intelligence activities, surveillance, classified information","Government employee pay, benefits, personnel management",Computer security and identity theft,"Science, Technology, Communications",
S. 2322,https://www.congress.gov/bill/117th-congress/senate-bill/2322,CTPAT Pilot Program Act of 2021,"Cornyn, John","Hassan, Margaret Wood","Carper, Thomas R.","Lankford, James","Menendez, Robert","Scott, Tim",Foreign Trade and International Finance,Terrorism,Transportation safety and security,Smuggling and trafficking,Public-private cooperation
S. 2299,https://www.congress.gov/bill/117th-congress/senate-bill/2299,CADETS Act,"Peters, Gary C.","Klobuchar, Amy","Baldwin, Tammy","Cruz, Ted","Markey, Edward J.","Young, Todd",Transportation and Public Works,National Guard and reserves,State and local government operations,Student aid and college costs,Transportation employees
S. 2293,https://www.congress.gov/bill/117th-congress/senate-bill/2293,CREW Act,"Peters, Gary C.","Portman, Rob",,,,,Emergency Management,"Government employee pay, benefits, personnel management",Department of Homeland Security,Temporary and part-time employment,Federal Emergency Management Agency (FEMA)
S. 2280,https://www.congress.gov/bill/117th-congress/senate-bill/2280,VETS Safe Travel Act,"Young, Todd","Daines, Steve","Portman, Rob","Duckworth, Tammy","Hassan, Margaret Wood","Rosen, Jacky",Transportation and Public Works,Government information and archives,Marketing and advertising,Aviation and airports,Transportation safety and security
S. 2255,https://www.congress.gov/bill/117th-congress/senate-bill/2255,Trade Adjustment Assistance Extension Act of 2021,"Brown, Sherrod",,,,,,Trade adjustment assistance,Employee benefits and pensions,Health care costs and insurance,Wages and earnings,Foreign Trade and International Finance
S. 2205,https://www.congress.gov/bill/117th-congress/senate-bill/2205,"A bill to designate the United States courthouse located at 201 South Evans Street in Greenville, North Carolina, as the ""Malcolm J. Howard United States Courthouse"", and for other purposes.","Burr, Richard",,,,,,North Carolina,"Government buildings, facilities, and property",Government Operations and Politics,Congressional tributes,
S. 2201,https://www.congress.gov/bill/117th-congress/senate-bill/2201,Supply Chain Security Training Act of 2021,"Peters, Gary C.","Hassan, Margaret Wood","Johnson, Ron",,,,Government Operations and Politics,Computer security and identity theft,Computers and information technology,Telephone and wireless communication,Public contracts and procurement
S. 2184,https://www.congress.gov/bill/117th-congress/senate-bill/2184,"A bill to amend the Sarbanes-Oxley Act of 2002 to institute a trading prohibition for certain issuers that retain public accounting firms that have not been subject to inspection by the Public Company Accounting Oversight Board, and for other purposes.","Kennedy, John","Rubio, Marco",,,,,Corporate finance and management,Securities,Financial services and investments,Accounting and auditing,Finance and Financial Sector
S. 2159,https://www.congress.gov/bill/117th-congress/senate-bill/2159,"A bill to designate the community-based outpatient clinic of the Department of Veterans Affairs located at 400 College Drive, Middleburg, Florida, as the ""Andrew K. Baker Department of Veterans Affairs Clinic"", and for other purposes.","Rubio, Marco","Scott, Rick",,,,,Armed Forces and National Security,Florida,Department of Veterans Affairs,Home and outpatient care,"Government buildings, facilities, and property"
