"","NAME","CAND_OFFICE_ST","TRANSACTION_AMT","CAND_ID","CAND_NAME","CAND_PTY_AFFILIATION","GEN_ELECTION","GEN_ELECTION_PERCENT","Issues"
"917","HAROLD FORD, JR. FOR TN","TN",5000,"S6TN00240","FORD, HAROLD E JR","DEM","L",47,"Civil Liberties"
"918","BEN CARDIN FOR SENATE","MD",5000,"S6MD03177","CARDIN, BENJAMIN L","DEM","W",54,"Gun Rights"
"919","HAROLD FORD, JR. FOR TN","TN",5000,"S6TN00240","FORD, HAROLD E JR","DEM","L",47,"Foreign Policy"
"920","MENENDEZ FOR SENATE","NJ",5000,"S6NJ00289","MENENDEZ, ROBERT","DEM","W",53,"Taxes"
"921","SNOWE, OLYMPIA J","ME",5000,"S4ME00055","SNOWE, OLYMPIA J","REP","W",74,"Jobs"
"922","DEWINE FOR US SENATE","OH",5000,"S2OH00113","DEWINE, RICHARD MICHAEL","REP","L",44,"Jobs"
"923","KYL, JON L","AZ",5000,"S4AZ00030","KYL, JON","REP","W",52,"Gun Rights"
"924","FRIENDS FOR MIKE MCGAVICK","WA",5000,"S6WA00248","MCGAVICK, MICHAEL SEAN","REP","L",39,"Gun Rights"
"925","AKAKA IN 2006","HI",5000,"S0HI00084","AKAKA, DANIEL K","DEM","W",61,"Big Business"
"926","WEBB FOR SENATE","VA",5000,"S6VA00127","WEBB, JAMES H","DEM","W",49,"Foreign Policy"
"927","ALLEN VICTORY COMMITTEE","VA",5000,"S8VA00214","ALLEN, GEORGE","REP","L",49,"Civil Liberties"
"928","FEDERAL CAPITAL COMMUNICATIONS CORPORATION","MO",9409,"S2MO00353","TALENT, JAMES MATTHES","REP","L",47,"Foreign Policy"
"929","FEDERAL CAPITAL COMMUNICATIONS CORPORATION","TN",62365,"S6TN00216","CORKER, ROBERT P JR","REP","W",50,"Gun Rights"
"930","CHRIS MOTTOLA CONSULTING, INC.","VA",14087,"S6VA00127","WEBB, JAMES H","DEM","W",49,"Jobs"
"931","SMART MEDIA GROUP","RI",130100,"S6RI00221","WHITEHOUSE, SHELDON II","DEM","W",53,"Taxes"
"932","CHRIS MOTTOLA CONSULTING, INC.","VA",5789,"S6VA00127","WEBB, JAMES H","DEM","W",49,"Gun Rights"
"933","SCOTT HOWELL & COMPANY, INC.","MD",16300,"S6MD03201","STEELE, MICHAEL","REP","L",44,"Civil Liberties"
"934","TARGETED CREATIVE COMMUNICATIONS I","MO",55164,"S6MO00305","MCCASKILL, CLAIRE","DEM","W",49,"Big Business"
"935","CHRIS MOTTOLA CONSULTING, INC.","VA",11478,"S6VA00127","WEBB, JAMES H","DEM","W",49,"Gun Rights"
"936","STEVENS REED CURCIO & POTHOLM","RI",14848,"S6RI00221","WHITEHOUSE, SHELDON II","DEM","W",53,"Civil Liberties"
"937","SCOTT HOWELL & COMPANY, INC.","MD",34797,"S6MD03201","STEELE, MICHAEL","REP","L",44,"Abortion"
"938","NORTH WOODS ADVERTISING","VA",29970,"S8VA00214","ALLEN, GEORGE","REP","L",49,"Jobs"
"939","NORTH WOODS ADVERTISING","MT",29984,"S8MT00119","BURNS, CONRAD","REP","L",48,"Jobs"
"940","BOB CORKER FOR SENATE","TN",5000,"S6TN00216","CORKER, ROBERT P JR","REP","W",50,"Jobs"
"941","FRIENDS OF CRAIG THOMAS","WY",5000,"S4WY00055","THOMAS, CRAIG","REP","W",70,"Abortion"
"942","SNOWE FOR SENATE","ME",5000,"S4ME00055","SNOWE, OLYMPIA J","REP","W",74,"Civil Liberties"
"943","FRIENDS OF HILLARY","NY",5000,"S0NY00188","CLINTON, HILLARY RODHAM","DEM","W",66,"Taxes"
"944","STEVENS REED CURCIO & POTHOLM","OH",548000,"S2OH00113","DEWINE, RICHARD MICHAEL","REP","L",44,"Taxes"
"945","SANDERS FOR SENATE","VT",5000,"S4VT00033","SANDERS, BERNARD","IND","W",65,"Big Business"
"946","BOUCHARD FOR US SENATE","MI",5000,"S6MI00335","BOUCHARD, MICHAEL J","REP","L",41,"Foreign Policy"
"947","JAMES WEBB FOR US SENATE","VA",5000,"S6VA00127","WEBB, JAMES H","DEM","W",49,"Gun Rights"
"948","WHITEHOUSE 06","RI",5000,"S6RI00221","WHITEHOUSE, SHELDON II","DEM","W",53,"Jobs"
"949","AMY KLOBUCHAR FOR U.S. SENATE","MN",5000,"S6MN00267","KLOBUCHAR, AMY J","DEM","W",57,"Foreign Policy"
"950","BOB CASEY FOR PENNSYLVANIA COMMITTEE","PA",5000,"S6PA00217","CASEY, ROBERT P JR","DEM","W",58,"Taxes"
"951","TOM KEAN FOR US SENATE INC","NJ",5000,"S6NJ00271","KEAN, THOMAS H JR","REP","L",44,"Jobs"
"952","CHAFEE FOR US SENATE","RI",5000,"S8RI00102","CHAFEE, LINCOLN D","REP","L",46,"Gun Rights"
"953","FRIENDS OF SHERROD BROWN","OH",5000,"S6OH00163","BROWN, SHERROD","DEM","W",55,"Civil Liberties"
"954","BOB CORKER FOR SENATE","TN",5000,"S6TN00216","CORKER, ROBERT P JR","REP","W",50,"Jobs"
"955","GMMB","TN",95545,"S6TN00240","FORD, HAROLD E JR","DEM","L",47,"Gun Rights"
"956","AMS Communications","WI",28832,"S6WI00061","KOHL, HERB","DEM","W",67,"Taxes"
"957","DEWINE FOR U.S. SENATE","OH",5000,"S2OH00113","DEWINE, RICHARD MICHAEL","REP","L",44,"Abortion"
"958","TOM KEAN FOR U.S. SENATE INC.","NJ",5000,"S6NJ00271","KEAN, THOMAS H JR","REP","L",44,"Big Business"
"959","MENENDEZ FOR SENATE","NJ",5000,"S6NJ00289","MENENDEZ, ROBERT","DEM","W",53,"Civil Liberties"
"960","MIKE DEWINE FOR US SENATE","OH",5000,"S2OH00113","DEWINE, RICHARD MICHAEL","REP","L",44,"Abortion"
"961","KAY BAILEY HUTCHISON FOR SENATE","TX",5000,"S4TX00086","HUTCHISON, KAY BAILEY","REP","W",61,"Jobs"
"962","CARPER FOR SENATE","DE",4920,"S8DE00079","CARPER, THOMAS R","DEM","W",70,"Big Business"
"963","SANDERS FOR SENATE","VT",5000,"S4VT00033","SANDERS, BERNARD","IND","W",65,"Gun Rights"
"964","SANTORUM 2006","PA",5000,"S4PA00063","SANTORUM, RICHARD J","REP","L",41,"Abortion"
"965","PEDERSON 2006","AZ",5000,"S6AZ00142","PEDERSON, JIM","DEM","L",43,"Civil Liberties"
"966","TOM KEAN FOR US SENATE INC","NJ",5000,"S6NJ00271","KEAN, THOMAS H JR","REP","L",44,"Taxes"
"967","EU SERVICES","MI",29902,"S6MI00335","BOUCHARD, MICHAEL J","REP","L",41,"Gun Rights"
"968","EU SERVICES","VA",19379,"S8VA00214","ALLEN, GEORGE","REP","L",49,"Jobs"
"969","EU SERVICES","MD",16239,"S6MD03201","STEELE, MICHAEL","REP","L",44,"Civil Liberties"
"970","EU SERVICES","NJ",12370,"S6NJ00289","MENENDEZ, ROBERT","DEM","W",53,"Abortion"
"971","EU SERVICES","OH",32588,"S2OH00113","DEWINE, RICHARD MICHAEL","REP","L",44,"Foreign Policy"
"972","EU SERVICES","OH",5435,"S2OH00113","DEWINE, RICHARD MICHAEL","REP","L",44,"Civil Liberties"
"973","WINNING CONNECTIONS INC.","RI",27625,"S8RI00102","CHAFEE, LINCOLN D","REP","L",46,"Gun Rights"
"974","GRS CONSULTING LLC.","VA",10000,"S6VA00127","WEBB, JAMES H","DEM","W",49,"Civil Liberties"
"975","KAY BAILEY HUTCHISON FOR SENATE COMMITTEE","TX",5000,"S4TX00086","HUTCHISON, KAY BAILEY","REP","W",61,"Abortion"
"976","JON KYL FOR U S SENATE","AZ",5000,"S4AZ00030","KYL, JON","REP","W",52,"Foreign Policy"
"977","FRIENDS OF SHERROD BROWN","OH",5000,"S6OH00163","BROWN, SHERROD","DEM","W",55,"Big Business"
"978","BILL NELSON FOR U.S. SENATE","FL",5000,"S8FL00166","NELSON, BILL","DEM","W",60,"Jobs"
"979","MENENDEZ FOR CONGRESS","NJ",5000,"S6NJ00289","MENENDEZ, ROBERT","DEM","W",53,"Taxes"
"980","STABENOW FOR US SENATE","MI",5000,"S8MI00281","STABENOW, DEBBIE","DEM","W",56,"Civil Liberties"
"981","BARBARA ANN RADNOFSKY FOR US SENATE COMMITTEE INC","TX",5000,"S6TX00180","RADNOFSKY, BARBARA ANN","DEM","L",36,"Big Business"
"982","KLOBUCHAR FOR MINNESOTA","MN",5000,"S6MN00267","KLOBUCHAR, AMY J","DEM","W",57,"Abortion"
"983","MIKE DEWINE FOR US SENATE","OH",5000,"S2OH00113","DEWINE, RICHARD MICHAEL","REP","L",44,"Taxes"
"984","TALENT FOR SENATE INC","MO",5000,"S2MO00353","TALENT, JAMES MATTHES","REP","L",47,"Taxes"
"985","BOB CORKER FOR SENATE","TN",5000,"S6TN00216","CORKER, ROBERT P JR","REP","W",50,"Abortion"
"986","BOUCHARD FOR US SENATE","MI",5000,"S6MI00335","BOUCHARD, MICHAEL J","REP","L",41,"Abortion"
"987","STATENETS","MO",35640,"S2MO00353","TALENT, JAMES MATTHES","REP","L",47,"Abortion"
"988","SALEM RADIO REPRESENTATIVES","MO",12476,"S2MO00353","TALENT, JAMES MATTHES","REP","L",47,"Foreign Policy"
"989","PREMIERE RADIO NETWORKS","WA",4299,"S8WA00194","CANTWELL, MARIA","DEM","W",56,"Gun Rights"
"990","COMMERCIAL MEDIA SALES","TN",37531,"S6TN00216","CORKER, ROBERT P JR","REP","W",50,"Abortion"
"991","STATENETS","VA",19500,"S8VA00214","ALLEN, GEORGE","REP","L",49,"Jobs"
"992","STATENETS","MT",4134,"S8MT00119","BURNS, CONRAD","REP","L",48,"Foreign Policy"
"993","COMMERCIAL MEDIA SALES","OH",18315,"S2OH00113","DEWINE, RICHARD MICHAEL","REP","L",44,"Gun Rights"
"994","PREMIERE RADIO NETWORKS","MO",10181,"S2MO00353","TALENT, JAMES MATTHES","REP","L",47,"Civil Liberties"
"995","PREMIERE GLOBAL SERVICES","NJ",4032,"S6NJ00289","MENENDEZ, ROBERT","DEM","W",53,"Big Business"
"996","EU SERVICES","MD",4762,"S6MD03201","STEELE, MICHAEL","REP","L",44,"Taxes"
"997","EU SERVICES","OH",4963,"S2OH00113","DEWINE, RICHARD MICHAEL","REP","L",44,"Jobs"
"998","MENENDEZ FOR SENATE","NJ",5000,"S6NJ00289","MENENDEZ, ROBERT","DEM","W",53,"Jobs"
"999","SOUTHWEST PUBLISHING","NY",19950,"S0NY00188","CLINTON, HILLARY RODHAM","DEM","W",66,"Foreign Policy"
"1000","BOB CORKER FOR SENATE INC.","TN",5000,"S6TN00216","CORKER, ROBERT P JR","REP","W",50,"Big Business"
"1001","STEELE FOR MARYLAND","MD",5000,"S6MD03201","STEELE, MICHAEL","REP","L",44,"Abortion"
"1002","BILL NELSON FOR SENATE","FL",5000,"S8FL00166","NELSON, BILL","DEM","W",60,"Foreign Policy"
"1003","NELSON, BILL","FL",5000,"S8FL00166","NELSON, BILL","DEM","W",60,"Foreign Policy"
"1004","PEDERSON, JIM","AZ",5000,"S6AZ00142","PEDERSON, JIM","DEM","L",43,"Foreign Policy"
"1005","BOB CORKER FOR SENATE","TN",5000,"S6TN00216","CORKER, ROBERT P JR","REP","W",50,"Gun Rights"
"1006","WHITEHOUSE '06","RI",5000,"S6RI00221","WHITEHOUSE, SHELDON II","DEM","W",53,"Gun Rights"
"1007","WALKER & ASSOCIATES","TN",5557,"S6TN00240","FORD, HAROLD E JR","DEM","L",47,"Gun Rights"
"1008","E ALLAN BRANDON LLC","TN",6600,"S6TN00240","FORD, HAROLD E JR","DEM","L",47,"Jobs"
"1009","THE SILVER STAR NEWS","TN",8733,"S6TN00240","FORD, HAROLD E JR","DEM","L",47,"Gun Rights"
"1010","U.S. POSTMASTER","TN",52920,"S6TN00240","FORD, HAROLD E JR","DEM","L",47,"Big Business"
"1011","U.S. POSTMASTER","TN",17165,"S6TN00240","FORD, HAROLD E JR","DEM","L",47,"Civil Liberties"
"1012","MENENDEZ FOR CONGRESS","NJ",4200,"S6NJ00289","MENENDEZ, ROBERT","DEM","W",53,"Jobs"
"1013","THOMPSON COMMUNICATIONS INC.","RI",100026,"S8RI00102","CHAFEE, LINCOLN D","REP","L",46,"Gun Rights"
"1014","FRIENDS OF SHERROD BROWN","OH",5000,"S6OH00163","BROWN, SHERROD","DEM","W",55,"Civil Liberties"
"1015","KENNEDY, MARK RAYMOND","MN",5000,"S6MN00275","KENNEDY, MARK RAYMOND","REP","L",38,"Civil Liberties"
"1016","Winning Connections Inc","WA",6300,"S8WA00194","CANTWELL, MARIA","DEM","W",56,"Abortion"
"1017","The Mellman Group","WA",4655,"S8WA00194","CANTWELL, MARIA","DEM","W",56,"Foreign Policy"
"1018","HildebrandTewes","WA",19172,"S8WA00194","CANTWELL, MARIA","DEM","W",56,"Gun Rights"
"1019","AMS Communications Inc.","WA",10536,"S8WA00194","CANTWELL, MARIA","DEM","W",56,"Taxes"
"1020","The Mellman Group","WA",23800,"S8WA00194","CANTWELL, MARIA","DEM","W",56,"Taxes"
"1021","AMS Communications Inc.","WA",55597,"S8WA00194","CANTWELL, MARIA","DEM","W",56,"Taxes"
"1022","THOMPSON COMMUNICATIONS INC.","RI",165175,"S8RI00102","CHAFEE, LINCOLN D","REP","L",46,"Gun Rights"
"1023","THOMPSON COMMUNICATIONS INC.","RI",151162,"S8RI00102","CHAFEE, LINCOLN D","REP","L",46,"Jobs"
"1024","Winning Connections Inc.","MI",6371,"S8MI00281","STABENOW, DEBBIE","DEM","W",56,"Big Business"
"1025","BOB CORKER FOR SENATE","TN",5000,"S6TN00216","CORKER, ROBERT P JR","REP","W",50,"Jobs"
"1026","EDMONDS ASSOCIATES INC.","MO",12000,"S2MO00353","TALENT, JAMES MATTHES","REP","L",47,"Gun Rights"
"1027","EDMONDS ASSOCIATES INC.","MT",7500,"S8MT00119","BURNS, CONRAD","REP","L",48,"Taxes"
"1028","EDMONDS ASSOCIATES INC.","VA",18200,"S8VA00214","ALLEN, GEORGE","REP","L",49,"Foreign Policy"
"1029","PROLIST INC.","MN",4940,"S6MN00275","KENNEDY, MARK RAYMOND","REP","L",38,"Big Business"
"1030","PROLIST INC.","MI",10754,"S6MI00335","BOUCHARD, MICHAEL J","REP","L",41,"Taxes"
"1031","PROLIST INC.","MN",15725,"S6MN00275","KENNEDY, MARK RAYMOND","REP","L",38,"Taxes"
"1032","PROLIST INC.","TN",23696,"S6TN00216","CORKER, ROBERT P JR","REP","W",50,"Taxes"
"1033","PROLIST INC.","FL",15163,"S6FL00178","HARRIS, KATHERINE","REP","L",38,"Big Business"
"1034","PROLIST INC.","MO",19417,"S2MO00353","TALENT, JAMES MATTHES","REP","L",47,"Foreign Policy"
"1035","EDMONDS ASSOCIATES INC.","MO",38619,"S2MO00353","TALENT, JAMES MATTHES","REP","L",47,"Civil Liberties"
"1036","EDMONDS ASSOCIATES INC.","MO",5000,"S6MO00305","MCCASKILL, CLAIRE","DEM","W",49,"Jobs"
"1037","PROLIST INC.","MN",22350,"S6MN00275","KENNEDY, MARK RAYMOND","REP","L",38,"Abortion"
"1038","PROLIST INC.","FL",8940,"S6FL00178","HARRIS, KATHERINE","REP","L",38,"Civil Liberties"
"1039","EFTPS Payroll Tax - IRS","MN",16448,"S6MN00267","KLOBUCHAR, AMY J","DEM","W",57,"Taxes"
"1040","TOM KEAN FOR US SENATE INC","NJ",5000,"S6NJ00271","KEAN, THOMAS H JR","REP","L",44,"Abortion"
"1041","Majority Communications Inc","NV",49902,"S8NV00073","ENSIGN, JOHN ERIC","REP","W",56,"Taxes"
"1042","MENENDEZ FOR SENATE","NJ",5000,"S6NJ00289","MENENDEZ, ROBERT","DEM","W",53,"Gun Rights"
"1043","WHITEHOUSE, SHELDON","RI",5000,"S6RI00221","WHITEHOUSE, SHELDON II","DEM","W",53,"Taxes"
"1044","FORD-TESTER 2006","TN",5000,"S6TN00240","FORD, HAROLD E JR","DEM","L",47,"Jobs"
"1045","BILL NELSON FOR U S SENATE","FL",4900,"S8FL00166","NELSON, BILL","DEM","W",60,"Abortion"
"1046","NEW REPUBLICAN MAJORITY FUND","MS",5000,"S8MS00162","LOTT, TRENT","REP","W",63,"Jobs"
"1047","TOM KEAN FOR US SENATE INC","NJ",5000,"S6NJ00271","KEAN, THOMAS H JR","REP","L",44,"Jobs"
"1048","BOB CORKER FOR SENATE","TN",5000,"S6TN00216","CORKER, ROBERT P JR","REP","W",50,"Civil Liberties"
"1049","BOB CORKER FOR SENATE","TN",5000,"S6TN00216","CORKER, ROBERT P JR","REP","W",50,"Abortion"
"1050","GREAT AMERICAN MEDIA-GMMB","MT",100547,"S8MT00119","BURNS, CONRAD","REP","L",48,"Abortion"
"1051","GREAT AMERICAN MEDIA-GMMB","MO",2621009,"S2MO00353","TALENT, JAMES MATTHES","REP","L",47,"Taxes"
"1052","BRIGHT IDEA CREATIVE","MO",24911,"S6MO00305","MCCASKILL, CLAIRE","DEM","W",49,"Gun Rights"
"1053","MURPHY PUTNAM SHORR & PARTNERS","MT",5508,"S8MT00119","BURNS, CONRAD","REP","L",48,"Taxes"
"1054","GREAT AMERICAN MEDIA-GMMB","NJ",2000000,"S6NJ00271","KEAN, THOMAS H JR","REP","L",44,"Foreign Policy"
"1055","GREAT AMERICAN MEDIA-GMMB","MT",32687,"S8MT00119","BURNS, CONRAD","REP","L",48,"Big Business"
"1056","GREAT AMERICAN MEDIA-GMMB","RI",573067,"S8RI00102","CHAFEE, LINCOLN D","REP","L",46,"Big Business"
"1057","BRIGHT IDEA CREATIVE","MO",16539,"S6MO00305","MCCASKILL, CLAIRE","DEM","W",49,"Big Business"
"1058","GREAT AMERICAN MEDIA-GMMB","RI",137011,"S6RI00221","WHITEHOUSE, SHELDON II","DEM","W",53,"Gun Rights"
"1059","GREAT AMERICAN MEDIA-GMMB","OH",618615,"S6OH00163","BROWN, SHERROD","DEM","W",55,"Jobs"
"1060","FUSE, INC.","MD",254250,"S6MD03177","CARDIN, BENJAMIN L","DEM","W",54,"Big Business"
"1061","GRUNWALD COMMUNICATIONS","OH",44155,"S6OH00163","BROWN, SHERROD","DEM","W",55,"Jobs"
"1062","DEMOCRATIC NATIONAL","WV",16095,"S6WV00014","BYRD, ROBERT C","DEM","W",64,"Big Business"
"1063","Kennedy Communications LLC","DE",5173,"S8DE00079","CARPER, THOMAS R","DEM","W",70,"Taxes"
"1064","FRIENDS OF GEORGE ALLEN","VA",5000,"S8VA00214","ALLEN, GEORGE","REP","L",49,"Gun Rights"
"1065","The Dewey Hub","MO",8137,"S6MO00305","MCCASKILL, CLAIRE","DEM","W",49,"Abortion"
"1066","The Next Big Thing, INC","MO",14486,"S6MO00305","MCCASKILL, CLAIRE","DEM","W",49,"Jobs"
"1067","Brand Architects, LLC","MO",31218,"S6MO00305","MCCASKILL, CLAIRE","DEM","W",49,"Civil Liberties"
"1068","KYL, JON","AZ",5000,"S4AZ00030","KYL, JON","REP","W",52,"Jobs"
"1069","CARPER FOR SENATE","DE",5000,"S8DE00079","CARPER, THOMAS R","DEM","W",70,"Jobs"
"1070","MARK KENNEDY","MN",5000,"S6MN00275","KENNEDY, MARK RAYMOND","REP","L",38,"Abortion"
"1071","Stones Phones","AZ",28618,"S6AZ00142","PEDERSON, JIM","DEM","L",43,"Big Business"
"1072","Stones Phones","AZ",39951,"S6AZ00142","PEDERSON, JIM","DEM","L",43,"Gun Rights"
"1073","BILL NELSON FOR U.S. SENATE","FL",5000,"S8FL00166","NELSON, BILL","DEM","W",60,"Gun Rights"
"1074","WHITEHOUSE 06","RI",5000,"S6RI00221","WHITEHOUSE, SHELDON II","DEM","W",53,"Civil Liberties"
"1075","CARPER FOR SENATE","DE",5000,"S8DE00079","CARPER, THOMAS R","DEM","W",70,"Big Business"
"1076","FEINSTEIN FOR SENATE","CA",5000,"S0CA00199","FEINSTEIN, DIANNE","DEM","W",59,"Civil Liberties"
"1077","KLOBUCHAR FOR MINNESOTA","MN",5000,"S6MN00267","KLOBUCHAR, AMY J","DEM","W",57,"Jobs"
"1078","STROTHER, DUFFY, STROTHER","MO",15000,"S2MO00353","TALENT, JAMES MATTHES","REP","L",47,"Abortion"
"1079","MONTANA CONSERVATION VOTERS, INC.","MT",4391,"S6MT00162","TESTER, JON","DEM","W",49,"Jobs"
"1080","HATCH ELECTION COMMITTEE INC","UT",5000,"S6UT00063","HATCH, ORRIN G","REP","W",62,"Foreign Policy"
"1081","JAMES WEBB FOR U.S. SENATE","VA",5000,"S6VA00127","WEBB, JAMES H","DEM","W",49,"Civil Liberties"
"1082","PROLIST INC.","TN",23695,"S6TN00216","CORKER, ROBERT P JR","REP","W",50,"Gun Rights"
"1083","MASTER PRINT INC.","MO",5805,"S2MO00353","TALENT, JAMES MATTHES","REP","L",47,"Foreign Policy"
"1084","PROLIST INC.","MI",36843,"S6MI00335","BOUCHARD, MICHAEL J","REP","L",41,"Gun Rights"
"1085","RE-ELECT HAROLD FORD JR.","TN",5000,"S6TN00240","FORD, HAROLD E JR","DEM","L",47,"Abortion"
"1086","AMY KLOBUCHAR FOR U.S. SENATE","MN",5000,"S6MN00267","KLOBUCHAR, AMY J","DEM","W",57,"Civil Liberties"
"1087","MINNESOTA FLS CONNECT LLC","MO",12266,"S6MO00305","MCCASKILL, CLAIRE","DEM","W",49,"Civil Liberties"
"1088","MINNESOTA FLS CONNECT LLC","MO",12168,"S6MO00305","MCCASKILL, CLAIRE","DEM","W",49,"Civil Liberties"
"1089","MINNESOTA FLS CONNECT LLC","MO",40342,"S2MO00353","TALENT, JAMES MATTHES","REP","L",47,"Jobs"
"1090","NATIONAL MEDIA INC.","MO",164851,"S6MO00305","MCCASKILL, CLAIRE","DEM","W",49,"Big Business"
"1091","NATIONAL MEDIA INC.","MO",165033,"S6MO00305","MCCASKILL, CLAIRE","DEM","W",49,"Taxes"
"1092","NATIONAL MEDIA INC.","MO",386415,"S6MO00305","MCCASKILL, CLAIRE","DEM","W",49,"Gun Rights"
"1093","PUBLIC OPINION STRATEGIES LLC","MO",18500,"S6MO00305","MCCASKILL, CLAIRE","DEM","W",49,"Foreign Policy"
"1094","TARGETED CREATIVE COMMUNICATIONS INC.","MO",72841,"S6MO00305","MCCASKILL, CLAIRE","DEM","W",49,"Big Business"
"1095","TARGETED CREATIVE COMMUNICATIONS INC.","MO",66635,"S6MO00305","MCCASKILL, CLAIRE","DEM","W",49,"Gun Rights"
"1096","TARGETED CREATIVE COMMUNICATIONS INC.","MO",62500,"S6MO00305","MCCASKILL, CLAIRE","DEM","W",49,"Foreign Policy"
"1097","OLSEN & SHUVALOV","TN",16727,"S6TN00240","FORD, HAROLD E JR","DEM","L",47,"Jobs"
"1098","MINNESOTA FLS CONNECT LLC","TN",6979,"S6TN00216","CORKER, ROBERT P JR","REP","W",50,"Abortion"
"1099","OLSEN & SHUVALOV","TN",45696,"S6TN00240","FORD, HAROLD E JR","DEM","L",47,"Civil Liberties"
"1100","OLSEN & SHUVALOV","TN",46800,"S6TN00240","FORD, HAROLD E JR","DEM","L",47,"Gun Rights"
"1101","SCOTT HOWELL & COMPANY","TN",6800,"S6TN00240","FORD, HAROLD E JR","DEM","L",47,"Abortion"
"1102","THE TARRANCE GROUP INC","TN",22423,"S6TN00240","FORD, HAROLD E JR","DEM","L",47,"Taxes"
"1103","Johnson Paul","NE",7500,"S6NE00095","NELSON, E BENJAMIN","DEM","W",63,"Big Business"
"1104","Robinson & Muenster Associates Inc.","NE",10825,"S6NE00095","NELSON, E BENJAMIN","DEM","W",63,"Big Business"
"1105","MIKE DEWINE FOR US SENATE","OH",5000,"S2OH00113","DEWINE, RICHARD MICHAEL","REP","L",44,"Civil Liberties"
"1106","ENSIGN FOR SENATE","NV",5000,"S8NV00073","ENSIGN, JOHN ERIC","REP","W",56,"Big Business"
"1107","ENSIGN FOR SENATE","NV",5000,"S8NV00073","ENSIGN, JOHN ERIC","REP","W",56,"Civil Liberties"
"1108","SQUIERKNAPPDUNN COMMUNICATIONS","VA",10177,"S8VA00214","ALLEN, GEORGE","REP","L",49,"Jobs"
"1109","GREAT AMERICAN MEDIA-GMMB","MO",621237,"S2MO00353","TALENT, JAMES MATTHES","REP","L",47,"Gun Rights"
"1110","GREAT AMERICAN MEDIA-GMMB","VA",1353504,"S8VA00214","ALLEN, GEORGE","REP","L",49,"Gun Rights"
"1111","GREAT AMERICAN MEDIA-GMMB","TN",747554,"S6TN00216","CORKER, ROBERT P JR","REP","W",50,"Civil Liberties"
"1112","GREAT AMERICAN MEDIA-GMMB","RI",31263,"S8RI00102","CHAFEE, LINCOLN D","REP","L",46,"Taxes"
"1113","MURPHY PUTNAM SHORR & PARTNERS","RI",8210,"S8RI00102","CHAFEE, LINCOLN D","REP","L",46,"Civil Liberties"
"1114","GRUNWALD COMMUNICATIONS","OH",15401,"S2OH00113","DEWINE, RICHARD MICHAEL","REP","L",44,"Jobs"
"1115","GREAT AMERICAN MEDIA-GMMB","NJ",1200000,"S6NJ00271","KEAN, THOMAS H JR","REP","L",44,"Civil Liberties"
"1116","GREAT AMERICAN MEDIA-GMMB","RI",330000,"S8RI00102","CHAFEE, LINCOLN D","REP","L",46,"Gun Rights"
"1117","CONQUEST COMMUNICATIONS","MN",8219,"S6MN00275","KENNEDY, MARK RAYMOND","REP","L",38,"Big Business"
"1118","GREAT AMERICAN MEDIA-GMMB","VA",98386,"S8VA00214","ALLEN, GEORGE","REP","L",49,"Foreign Policy"
"1119","GREAT AMERICAN MEDIA-GMMB","VA",300000,"S8VA00214","ALLEN, GEORGE","REP","L",49,"Civil Liberties"
"1120","GREAT AMERICAN MEDIA-GMMB","VA",198000,"S8VA00214","ALLEN, GEORGE","REP","L",49,"Abortion"
"1121","THE ELEMENT AGENCY","NJ",21121,"S6NJ00271","KEAN, THOMAS H JR","REP","L",44,"Civil Liberties"
"1122","FUSE, INC.","MD",60000,"S6MD03201","STEELE, MICHAEL","REP","L",44,"Gun Rights"
"1123","BOB CASEY FOR PENNSYLVANIA COMMITTEE","PA",5000,"S6PA00217","CASEY, ROBERT P JR","DEM","W",58,"Taxes"
"1124","JAMES WEBB FOR US SENATE","VA",5000,"S6VA00127","WEBB, JAMES H","DEM","W",49,"Jobs"
"1125","FEINSTEIN FOR SENATE","CA",5000,"S0CA00199","FEINSTEIN, DIANNE","DEM","W",59,"Abortion"
"1126","DEMOCRATIC NATIONAL","MN",6500,"S6MN00267","KLOBUCHAR, AMY J","DEM","W",57,"Foreign Policy"
"1127","DEMOCRATIC NATIONAL","MN",11796,"S6MN00267","KLOBUCHAR, AMY J","DEM","W",57,"Foreign Policy"
"1128","DEMOCRATIC NATIONAL","MN",7154,"S6MN00267","KLOBUCHAR, AMY J","DEM","W",57,"Gun Rights"
"1129","DEMOCRATIC NATIONAL","MN",21125,"S6MN00267","KLOBUCHAR, AMY J","DEM","W",57,"Big Business"
"1130","DEMOCRATIC NATIONAL","NJ",5000,"S6NJ00289","MENENDEZ, ROBERT","DEM","W",53,"Jobs"
"1131","MIKE DEWINE FOR US SENATE","OH",5000,"S2OH00113","DEWINE, RICHARD MICHAEL","REP","L",44,"Gun Rights"
"1132","CARPER FOR SENATE","DE",5000,"S8DE00079","CARPER, THOMAS R","DEM","W",70,"Big Business"
"1133","KLOBUCHAR FOR MINNESOTA 2012","MN",5000,"S6MN00267","KLOBUCHAR, AMY J","DEM","W",57,"Big Business"
"1134","HATCH ELECTION COMMITTEE","UT",5000,"S6UT00063","HATCH, ORRIN G","REP","W",62,"Big Business"
"1135","FRIENDS FOR MIKE MCGAVICK","WA",5000,"S6WA00248","MCGAVICK, MICHAEL SEAN","REP","L",39,"Civil Liberties"
