"28","C00392738","YE","18K","PAC","FEDERATION OF AMERICAN HOSPITALS PAC","DC",12312021,5000,"C00002261","VPFBKT2ETM1","2021",2022,"HOOPS PAC","0"
"29","C00075820","M8","18K","PAC","AMERICAN OPTOMETRIC ASSOCIATION POLITICAL ACTION COMMITTEE","VA",7302021,15000,"C00024968","SA11C.22735434","2021",2022,"NRCC","0"
"30","C00075820","M9","18K","PAC","BUCKEYE LIBERTY PAC","WI",8122021,36500,"C00693796","SA11C.22787405","2021",2022,"NRCC","0"
"31","C00365536","M10","18K","PAC","DEPOSITORY TRUST AND CLEARING CORPORATION PAC - DTCC PAC; THE","DC",9302021,2500,"C00497917","VTEJX11SZ483","2021",2022,"CHC BOLD PAC","0"
"32","C00156810","M10","18K","PAC","UNITED SERVICES AUTOMOBILE ASSOCIATION EMPLOYEE PAC - USAA EMPLOYEE PAC","TX",9152021,2500,"C00164145","SA11C.7865","2021",2022,"REPUBLICAN PARTY OF KENTUCKY","0"
"33","C00540187","M11","18K","PAC","DUKE ENERGY CORPORATION PAC","NC",10152021,5000,"C00083535","SA11C.34769","2021",2022,"INNOVATION POLITICAL ACTION COMMITTEE","0"
"34","C00326439","M12","18K","PAC","INTERNATIONAL FRANCHISE ASSOCIATION FRANCHISING POLITICAL ACTION COMMITTEE INC","DC",11172021,5000,"C00084491","A9363F32B984F439FB2F","2021",2022,"HOUSE CONSERVATIVES FUND","0"
"35","C00550970","YE","18K","PAC","CITIGROUP INC. POLITICAL ACTION COMMITTEE - FEDERAL (CITIGROUP PAC-FEDERAL)","DC",9022021,2500,"C00008474","VSH0PSKDGY2","2021",2022,"EQUALITY PAC","0"
"36","C00516724","YE","18K","PAC","REYNOLDS AMERICAN INC. POLITICAL ACTION COMMITTEE; RAI PAC","NC",9302021,1000,"C00042002","SA11C.4677","2021",2022,"JOBS, ENERGY AND OUR FOUNDING FATHERS PAC-JEFF PAC","0"
"37","C00403592","YE","18K","PAC","AFLAC POLITICAL ACTION COMMITTEE (AFLAC PAC)","GA",7192021,5000,"C00034157","VR0C3NJBNP1","2021",2022,"NARRAGANSETT BAY PAC","0"
"38","C00719971","YE","18K","PAC","DELOITTE POLITICAL ACTION COMMITTEE","DC",11162021,2500,"C00211318","SA11C.39166","2021",2022,"SENATE EAGLE PAC","0"
"39","C00326082","YE","18K","PAC","NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE","IL",11082021,5000,"C00030718","SA11C.8344","2021",2022,"FUND FOR A CONSERVATIVE FUTURE","0"
"40","C00000935","M2","18K","PAC","LEONARDO DRS PAC","NJ",1312022,5000,"C00275123","36749859","2022",2022,"DCCC","0"
"41","C00378695","YE","18K","PAC","DAVITA HEALTHCARE PARTNERS, INC. PAC","WA",8102021,4000,"C00340943","VVC4CSQWW85","2021",2022,"VICTORY IN NOVEMBER ELECTION PAC","0"
"42","C00540393","M5","18K","COM","NORTH AMERICA'S BUILDING TRADES UNIONS POLITICAL EDUCATIONAL FUND","DC",4282022,2500,"C00003160","SA11C.4619","2022",2022,"DBM PAC","0"
"43","C00571182","YE","18K","PAC","THRIVENT FINANCIAL FOR LUTHERANS PAC","WI",9302021,5000,"C00121319","11C-000426997","2021",2022,"GETTING STUFF DONE PAC (GSD-PAC)","0"
"44","C00392738","Q3","18K","PAC","T-MOBILE PAC","DC",8092022,5000,"C00361758","VPFBKT9NTD6","2022",2022,"HOOPS PAC","0"
"45","C00075820","M4","18K","CCM","BILL JOHNSON FOR CONGRESS COMMITTEE","OH",3312022,4000,"C00424424","SA11C.23982835","2022",2022,"NRCC","0"
"46","C00502096","Q1","18K","PAC","NATIONAL MULTI HOUSING COUNCIL POLITICAL ACTION COMMITTEE","DC",3072022,2500,"C00130773","11701537","2022",2022,"MICHIGAN'S FUTURE PAC","0"
"47","C00536540","M6","18K","PAC","NATIONAL ELECTRICAL CONTRACTORS ASSOCIATION PAC","DC",5192022,5000,"C00113811","SA11C.3193101","2022",2022,"JOBS, FREEDOM, AND SECURITY PAC","0"
"48","C00484642","M6","18K","PAC","COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES","DC",5202022,500000,"C00488486","3213314","2022",2022,"SMP","0"
"49","C00375584","M9","18K","PAC","FEDERATION OF EXCHANGE ACCOMMODATORS 1031 PAC","DC",8032022,5000,"C00426874","3145480","2022",2022,"GREAT LAKES PAC","0"
